                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1943,                 0.7676,                 1.0918,                0.93233,                0.87388,                0.93547,                0.68817,                0.94632,                0.65883,                 1.0161,             0.00065517,             0.00065517,             0.00065517
                      2,                 1.0455,                0.52997,                 1.0314,                0.93399,                0.89001,                0.95544,                0.68158,                0.99509,                0.57555,                 1.0254,              0.0013088,              0.0013088,              0.0013088
                      3,                 1.0362,                0.51996,                 1.0224,                0.93479,                0.94795,                0.95355,                0.68877,                0.94391,                0.53173,                  1.017,              0.0019491,              0.0019491,              0.0019491
                      4,                 1.0111,                0.52101,                 1.0143,                0.93411,                0.92315,                0.96663,                0.69875,                 1.0403,                 0.5892,                 1.0813,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.0007,                0.49392,                 1.0115,                0.94022,                0.92645,                0.92853,                0.67317,                0.93787,                0.59912,                 1.0113,              0.0019208,              0.0019208,              0.0019208
                      6,                0.99776,                0.48204,                 1.0117,                0.91696,                0.92341,                0.92321,                0.68583,                0.92345,                0.55121,                0.99646,               0.001901,               0.001901,               0.001901
                      7,                0.97473,                 0.4596,                 1.0054,                0.91339,                0.95001,                0.94278,                0.72242,                0.86559,                0.47683,                0.97045,              0.0018812,              0.0018812,              0.0018812
                      8,                0.96078,                0.45865,                0.99423,                0.92686,                0.92814,                0.94504,                0.71893,                0.91891,                0.51673,                0.99202,              0.0018614,              0.0018614,              0.0018614
                      9,                0.95031,                 0.4472,                 0.9929,                0.95198,                0.97166,                0.98243,                0.75946,                0.89225,                0.42816,                0.98003,              0.0018416,              0.0018416,              0.0018416
                     10,                  0.937,                0.43541,                0.98012,                0.93632,                0.93758,                0.94769,                0.73326,                0.90107,                 0.4809,                0.97876,              0.0018218,              0.0018218,              0.0018218
                     11,                0.92713,                0.43324,                0.98154,                0.94284,                0.94872,                0.95734,                0.73393,                0.92843,                 0.4784,                 1.0027,               0.001802,               0.001802,               0.001802
                     12,                 0.9215,                0.42484,                0.98317,                0.92682,                0.93623,                 0.9214,                0.69715,                0.93994,                0.49362,                 1.0317,              0.0017822,              0.0017822,              0.0017822
                     13,                0.92383,                0.42842,                0.98768,                0.92658,                0.94095,                 0.9533,                0.73184,                0.90115,                0.47531,                 1.0017,              0.0017624,              0.0017624,              0.0017624
                     14,                0.91899,                 0.4251,                0.97341,                 0.9603,                0.95485,                0.98689,                0.75892,                0.91319,                0.42626,                0.98315,              0.0017426,              0.0017426,              0.0017426
                     15,                0.90407,                0.41276,                0.96456,                0.94665,                0.94265,                 0.9303,                0.70206,                 0.8917,                0.50698,                0.99598,              0.0017228,              0.0017228,              0.0017228
                     16,                 0.8935,                0.40832,                  0.964,                0.92458,                0.96777,                0.95518,                0.73257,                0.89914,                0.47185,                0.98458,               0.001703,               0.001703,               0.001703
                     17,                0.89043,                0.40502,                0.96312,                0.94768,                0.94727,                0.94494,                0.72396,                0.89536,                0.46233,                0.98847,              0.0016832,              0.0016832,              0.0016832
                     18,                0.89017,                0.39886,                0.95961,                0.92291,                0.92903,                 0.9503,                0.72971,                 0.8991,                0.48284,                0.98765,              0.0016634,              0.0016634,              0.0016634
                     19,                0.88965,                0.39661,                0.97217,                0.93457,                0.95414,                0.95019,                0.71368,                0.92926,                0.46928,                 1.0042,              0.0016436,              0.0016436,              0.0016436
                     20,                0.88059,                0.39468,                0.96199,                0.95217,                0.96725,                0.97524,                0.77102,                  0.858,                0.41335,                0.96908,              0.0016238,              0.0016238,              0.0016238
                     21,                0.88085,                0.39881,                0.95826,                0.94899,                0.94143,                0.95091,                0.74423,                0.86572,                 0.4399,                0.96739,               0.001604,               0.001604,               0.001604
                     22,                0.86705,                0.39052,                0.96342,                0.94433,                0.95445,                0.95025,                0.74561,                 0.8898,                 0.4359,                0.97693,              0.0015842,              0.0015842,              0.0015842
                     23,                0.86699,                0.38896,                0.95496,                0.94544,                0.94707,                0.94498,                0.73261,                 0.8842,                0.47387,                0.99516,              0.0015644,              0.0015644,              0.0015644
                     24,                0.86423,                0.38811,                0.95782,                0.94493,                0.94369,                0.95422,                0.74965,                0.87667,                0.46337,                 0.9743,              0.0015446,              0.0015446,              0.0015446
                     25,                0.85722,                0.37863,                0.95694,                0.94531,                0.94298,                0.94674,                0.71785,                0.92016,                0.47198,                 1.0002,              0.0015248,              0.0015248,              0.0015248
                     26,                0.85946,                0.38014,                0.95612,                0.94585,                0.95175,                0.95558,                0.75313,                0.86533,                 0.4449,                0.98125,               0.001505,               0.001505,               0.001505
                     27,                0.85913,                0.38071,                0.95267,                0.92744,                0.95243,                0.96329,                0.73844,                0.92184,                0.46571,                 1.0206,              0.0014852,              0.0014852,              0.0014852
                     28,                0.84497,                0.37528,                0.94303,                0.95289,                0.97233,                0.97488,                0.76263,                0.86153,                 0.4225,                 0.9746,              0.0014654,              0.0014654,              0.0014654
                     29,                0.85151,                0.37819,                0.94578,                0.93135,                0.96862,                0.95068,                0.74442,                 0.8778,                0.44679,                0.97778,              0.0014456,              0.0014456,              0.0014456
                     30,                0.84278,                0.36971,                0.94674,                0.92716,                0.95773,                0.94104,                 0.7283,                0.91879,                0.47865,                 1.0163,              0.0014258,              0.0014258,              0.0014258
                     31,                0.83535,                0.36828,                0.94472,                0.94222,                0.94073,                0.94934,                0.74066,                0.90702,                 0.4793,                  1.016,               0.001406,               0.001406,               0.001406
                     32,                0.83513,                 0.3677,                0.94198,                0.94221,                0.94056,                 0.9449,                0.72699,                0.91317,                0.49804,                 1.0133,              0.0013862,              0.0013862,              0.0013862
                     33,                0.83326,                 0.3652,                 0.9383,                0.92842,                0.97154,                0.96314,                0.75236,                 0.9157,                 0.4141,                 1.0157,              0.0013664,              0.0013664,              0.0013664
                     34,                0.83263,                0.36431,                 0.9417,                0.94664,                0.93963,                0.94947,                0.73992,                  0.917,                0.45764,                 1.0274,              0.0013466,              0.0013466,              0.0013466
                     35,                0.83089,                0.36363,                 0.9476,                0.94152,                0.94737,                0.94868,                0.74352,                0.86626,                 0.4445,                0.96757,              0.0013268,              0.0013268,              0.0013268
                     36,                0.82547,                0.35824,                 0.9379,                0.94924,                0.97167,                0.97425,                0.77139,                0.86751,                0.40078,                0.97563,               0.001307,               0.001307,               0.001307
                     37,                0.82393,                0.35852,                0.94143,                 0.9453,                0.94457,                 0.9529,                0.73936,                0.91441,                0.42832,                 1.0185,              0.0012872,              0.0012872,              0.0012872
                     38,                0.82525,                0.35906,                0.94094,                0.94508,                0.94703,                0.95999,                0.73999,                0.89769,                0.44482,                 0.9992,              0.0012674,              0.0012674,              0.0012674
                     39,                0.81631,                0.35248,                0.93212,                0.93247,                 0.9531,                0.94716,                0.74418,                0.87839,                0.44822,                0.97971,              0.0012476,              0.0012476,              0.0012476
                     40,                0.81182,                0.35431,                0.93111,                0.94053,                0.96491,                0.97052,                 0.7662,                0.87833,                0.41425,                0.98644,              0.0012278,              0.0012278,              0.0012278
                     41,                  0.822,                0.35673,                0.93457,                0.94108,                0.98313,                0.96822,                0.76491,                0.86311,                0.40784,                0.97203,               0.001208,               0.001208,               0.001208
                     42,                0.80558,                0.35046,                0.93153,                0.93863,                0.96498,                0.96307,                0.74433,                0.92811,                0.42739,                 1.0222,              0.0011882,              0.0011882,              0.0011882
                     43,                0.80197,                0.34691,                0.92765,                0.94971,                0.97605,                0.97808,                0.76769,                0.86383,                0.39759,                 0.9815,              0.0011684,              0.0011684,              0.0011684
                     44,                 0.7979,                0.34226,                0.92619,                0.95295,                0.97025,                0.96269,                0.74475,                0.86968,                 0.3976,                 1.0011,              0.0011486,              0.0011486,              0.0011486
                     45,                0.80437,                0.34698,                 0.9371,                0.94242,                0.96154,                0.96366,                0.75687,                0.88284,                0.40053,                 1.0079,              0.0011288,              0.0011288,              0.0011288
                     46,                0.80871,                0.34823,                0.93314,                0.94572,                0.96395,                0.96336,                0.75338,                 0.9057,                0.42386,                 1.0168,               0.001109,               0.001109,               0.001109
                     47,                 0.7985,                0.34379,                 0.9299,                0.94346,                 0.9585,                0.96366,                0.74057,                0.92473,                 0.4139,                 1.0368,              0.0010892,              0.0010892,              0.0010892
                     48,                0.78825,                0.33865,                0.92648,                0.94718,                0.96019,                0.96489,                0.75157,                0.87948,                0.43039,                 0.9904,              0.0010694,              0.0010694,              0.0010694
                     49,                0.78565,                0.33979,                0.92236,                 0.9601,                0.96612,                0.96848,                0.75321,                0.90398,                0.42505,                 1.0058,              0.0010496,              0.0010496,              0.0010496
                     50,                0.77811,                0.33641,                0.91944,                0.94952,                0.96559,                0.96759,                 0.7598,                0.87884,                0.42296,                0.99713,              0.0010298,              0.0010298,              0.0010298
